_id,Date,Location,Operator,PlaneType,Dead,Aboard,Ground
1,17-09-1908,"Fort Myer, Virginia",Military - U.S. Army,Wright Flyer III,1,2,0
2,12-07-1912,"Atlantic City, New Jersey",Military - U.S. Navy,Dirigible,5,5,0
3,06-08-1913,"Victoria, British Columbia, Canada",Private,Curtiss seaplane,1,1,0
4,09-09-1913,Over the North Sea,Military - German Navy,Zeppelin L-1 (airship),14,20,0
5,17-10-1913,"Near Johannisthal, Germany",Military - German Navy,Zeppelin L-2 (airship),30,30,0
6,05-03-1915,"Tienen, Belgium",Military - German Navy,Zeppelin L-8 (airship),21,41,0
7,03-09-1915,"Off Cuxhaven, Germany",Military - German Navy,Zeppelin L-10 (airship),19,19,0
8,28-07-1916,"Near Jambol, Bulgeria",Military - German Army,Schutte-Lanz S-L-10 (airship),20,20,0
9,24-09-1916,"Billericay, England",Military - German Navy,Zeppelin L-32 (airship),22,22,0
10,01-10-1916,"Potters Bar, England",Military - German Navy,Zeppelin L-31 (airship),19,19,0
11,21-11-1916,"Mainz, Germany",Military - German Army,Super Zeppelin (airship),27,28,0
12,28-11-1916,"Off West Hartlepool, England",Military - German Navy,Zeppelin L-34 (airship),20,20,0
13,04-03-1917,"Near Gent, Belgium",Military - German Army,Airship,20,20,0
14,30-03-1917,Off Northern Germany,Military - German Navy,Schutte-Lanz S-L-9 (airship),23,23,0
15,14-05-1917,"Near Texel Island, North Sea",Military - German Navy,Zeppelin L-22 (airship),21,21,0
16,14-06-1917,"Off Vlieland Island, North Sea",Military - German Navy,Zeppelin L-43 (airship),24,24,0
17,17-06-1917,"Near Yarmouth, England",?,Zepplin LZ-95 (air ship),14,16,0
18,21-08-1917,Off western Denmark,Military - German Navy,Zeppelin L-23 (airship),18,18,0
19,20-10-1917,"Near Luneville, France",Military - German Navy,Zeppelin L-44 (airship),18,18,0
20,07-04-1918,Over the Mediterranean,Military - German Navy,Zeppelin L-59 (airship),23,23,0
21,10-05-1918,"Off Helgoland Island, Germany",Military - German Navy,Zeppelin L-70 (airship),22,22,0
22,11-08-1918,"Ameland Island, North Sea",Military - German Navy,Zeppelin L-53 (airship),19,19,0
23,16-12-1918,"Elizabeth, New Jersey",US Aerial Mail Service,De Havilland DH-4,1,1,0
24,25-05-1919,"Cleveland, Ohio",US Aerial Mail Service,De Havilland DH-4,1,1,0
25,19-07-1919,"Dix Run, Pennsylvania",US Aerial Mail Service,De Havilland DH-4,1,1,0
26,02-10-1919,"Newcastle, England",Aircraft Transport and Travel,De Havilland DH-4,1,1,0
27,14-10-1919,"Cantonsville, Maryland",US Aerial Mail Service,Curtiss R-4LM,1,1,0
28,20-10-1919,English Channel,Aircraft Transport and Travel,De Havilland DH-4,NA,NA,NA
29,30-10-1919,"Long Valley, New Jersey",US Aerial Mail Service,De Havilland DH.4,1,1,0
30,10-03-1920,"New Paris, Indiana",US Aerial Mail Service,De Havilland DH-4,1,1,0
31,30-03-1920,"Newark, New Jersey",US Aerial Mail Service,De Havilland DH-4,1,1,0
32,10-04-1920,"Newark, New Jersey",US Aerial Mail Service,Curtiss R-4LM,1,2,0
33,11-04-1920,"Heller Field, New Jersey",US Aerial Mail Service,Curtiss JN-4H,1,2,0
34,12-05-1920,"Oskaloosa, Iowa",US Aerial Mail Service,De Havilland DH-4,1,2,0
35,06-06-1920,"Cleveland, Ohio",US Aerial Mail Service,De Havilland DH-4,1,1,0
36,16-08-1920,"College Park, Maryland",US Aerial Mail Service,De Havilland DH-4,1,1,0
37,16-08-1920,"Bedford, England",By Air,Armstrong-Whitworth F-K-8,1,1,0
38,01-09-1920,"Morristown, New Jersey",US Aerial Mail Service,Junkers JL-6,2,2,0
39,15-09-1920,"Pemberville, Ohio",US Aerial Mail Service,Junkers F-13,2,2,0
40,27-09-1920,"Hillersburg, Pennsylvania",US Aerial Mail Service,De Havilland DH-4,1,1,0
41,02-10-1920,"Off Port Vendres, France",Latecoere Airlines,Salmson 2-A-2,2,2,0
42,05-10-1920,"Valencia, Spain",Latecoere Airlines,Breguet 14,2,2,0
43,15-10-1920,"Batavia, Illinois",US Aerial Mail Service,De Havilland DH-4,1,1,0
44,07-11-1920,"Tie Siding, Wyoming",US Aerial Mail Service,De Havilland DH-4,1,1,0
45,14-12-1920,"London, England",Handley Page Transport,Handley Page HP-16,4,8,0
46,24-12-1920,"Barcelona, Spain",Aeropostale,Breguet 14,1,1,0
47,03-02-1921,"Mendotta, Minnisota",US Aerial Mail Service,De Havilland DH-4,1,1,0
48,09-02-1921,"La Crosse, Wisconsin",US Aerial Mail Service,Junkers F-13,3,3,0
49,15-02-1921,Off Gibraltar,Aeropostale,Breguet 14,2,2,0
50,22-02-1921,"Elko, Nevada",US Aerial Mail Service,De Havilland DH-4,1,1,0
51,06-04-1921,"Point Cook, Australia",Military - Royal Australian Air Force,Avro 504,1,2,0
52,21-04-1921,"Mitchel Field, NY",US Aerial Mail Service,De Havilland DH-4,1,1,0
53,29-04-1921,"Cleveland, Ohio",US Aerial Mail Service,De Havilland DH-4,1,1,0
54,17-05-1921,"Rock Springs, Wyoming",US Aerial Mail Service,"De Havilland DH-4
De Havilland DH-4",1,1,0
55,16-07-1921,"San Francisco, California",US Aerial Mail Service,De Havilland DH-4,1,1,0
56,14-08-1921,"Toulouse, France",Aeropostale,Breguet 14,2,2,0
57,24-08-1921,"River Humber, England",Military - Royal Airship Works,Royal Airship Works ZR-2 (airship),46,46,1
58,06-09-1921,"Paris, France",Franco-Roumaine,Potez IX,5,5,0
59,05-12-1921,"Near Murchinson River, Australia",West Australian Airways,Bristol 28 Tourer,3,3,0
60,14-01-1922,"Paris, France",Handley Page Transport,Handley Page O/10,5,5,5
61,21-02-1922,"Near Norfolk, Virginia",Military - U.S. Army Air Service,Dirigible Roma (airship),34,45,0
62,22-03-1922,North Atlantic Ocean,Aero Limited,Aeromarine Model 85 (flying boat),5,6,0
63,07-04-1922,"Grandvilliers, France",Daimler Airways / Grands Express Aeriens,de Havilland DH-18 / Farman F-60 Goliath,7,7,0
64,08-04-1922,"Pao Ting Fou, China",?,?,17,17,0
65,13-04-1922,"Brooklands, England",Vickers,Vickers Viking,3,3,0
66,03-06-1922,"Off Folkestone, Kent, England",Cie des Messageries Aeriennes,Bleriot Spad 27,3,3,0
67,04-07-1922,"Fuhlsbuttel, Germany",?,LVG C VI,2,3,0
68,16-07-1922,"Near Saverne, Lorraine, France",Compagnie Franco-Roumaine de Navigaation Aerienne,Potez 29,5,5,0
69,26-07-1922,"Cadix, Spain",Grands Express Aeriens,Breguet 14,3,3,0
70,07-09-1922,"Indianapolis, Indiana",US Aerial Mail Service,De Havilland DH-4,1,1,0
71,02-10-1922,"Venice, Italy",?,de Havilland DH-9,4,4,0
72,25-10-1922,"Larache, Morocco",Grands Express Aeriens,Breguet 14,2,2,0
73,03-12-1922,"Fez, Morocco",Grands Express Aeriens,Breguet 14,1,1,0
74,10-01-1923,"Ajaccio, France",Amee de l'Air,Lior????-et-Olivier H-13,3,4,0
75,17-01-1923,"Barcelona, Spain",Grands Express Aeriens,Breguet 14,1,1,0
76,18-01-1923,"Cheyenne, Wyoming",US Aerial Mail Service,De Havilland DH-4,1,1,0
77,26-02-1923,"Meadville, Pennsylvania",US Aerial Mail Service,De Havilland DH-4,1,1,0
78,14-05-1923,"Near Amiens, Picrdie, France",Grands Express Aeriens (Air Union),Farman F-60 Goliath,6,6,0
79,27-08-1923,"Bucharest, Romania",Campagnie France Roumaine,Bl????riot Spad 46,2,2,0
80,07-09-1923,"Colton, Ohio",US Aerial Mail Service,De Havilland DH-4,1,1,0
81,14-09-1923,"Near Ivinghoe, Buckinghamshire, England",Daimler Airways,de Havilland DH-34,5,5,0
82,18-11-1923,Russia,CCCP,Junkers F-13,2,4,0
83,06-12-1923,"Castalia, Ohio",US Aerial Mail Service,De Havilland DH-4,1,1,0
84,23-12-1923,Over the Mediterranean Sea,Military - French Navy,Zeppelin Dixmunde (airship),52,52,0
85,24-12-1923,"Egbert, WY",US Aerial Mail Service,De Havilland DH-4,1,1,0
86,07-03-1924,"Grampian, Pennsylvania",US Aerial Mail Service,De Havilland DH-4,1,1,0
87,24-04-1924,Over the English Channel,KLM Royal Dutch Airlines,Fokker F.III,3,3,0
88,08-06-1924,"Barranquilla, Colombia",SCADTA,Junkers F-13,5,5,0
89,01-08-1924,United States,US Aerial Mail Service,De Havilland DH-4,1,1,0
90,06-11-1924,"Cabrerolles, France",Grands Express Aeriens,?,1,1,0
91,21-12-1924,"Goshen, Indiana",US Aerial Mail Service,De Havilland DH-4,1,1,0
92,24-12-1924,"Purley, England",Imperial Airways,de Havilland DH-34B,8,8,0
93,22-03-1925,"Near Tiflis, Georgia, USSR",Zakavia,Junkers F-13,5,3,0
94,25-04-1925,"Alicante, Spain",Grands Express Aeriens,Breguet 14,4,4,0
95,25-05-1925,"Alicante, Spain",Lignes Aeriennes Latecoere,Breguet 14,2,2,0
96,25-06-1925,"Landr????cies, France",KLM Royal Dutch Airlines,Fokker (KLM)  F.III,4,4,0
97,26-06-1925,"Alicante, Spain",Grands Express Aeriens,Lior????-et-Olivier H-13,2,2,0
98,20-07-1925,"Rosas, Spain",Lignes Aeriennes Latecoere,Breguet 14,1,1,0
99,24-07-1925,"Budapest, Hungary",CIDNA,Potez IX,1,1,0
100,03-09-1925,"Caldwell, Ohio",Military - U.S. Navy,Dirigible ZR-1 Shenandoah (airship),14,43,0
101,07-09-1925,"Toul, France",CIDNA,?,3,3,0
102,01-10-1925,"Nittany Mt, Ohio",US Aerial Mail Service,De Havilland DH-4,1,1,0
103,14-11-1925,"Off Boulogne-sur-Mer, France",Air Union,Farman F-60 Goliath,2,2,0
104,12-02-1926,"Montpelier, Ohio",US Aerial Mail Service,Curtiss Carrier Pigeon,1,1,0
105,08-03-1926,"Staaken, Germany",Deutche Lufthansa,Junkers F-13,1,1,0
106,31-05-1926,English Channel,Air Union,Breguet 14,1,1,0
107,03-07-1926,"Rossaugpt, Czechoslovakia",Compagnie Internationale de Navigation A????rienne,Caudron C-61,6,6,0
108,09-07-1926,"Wolvertem, Belgium",KLM Royal Dutch Airlines,Fokker F-4,2,2,0
